id,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
85,36.1808536760509,-80.0129870977253,0,2021-02-11T23:08:04Z,,,08-080,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
86,36.1807899735868,-80.0131099764258,0,2021-02-11T23:08:04Z,,,08-080T,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
87,36.1759176570922,-80.0047270674259,0,2021-02-11T23:08:04Z,,,08-081,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
88,36.1728200409561,-80.0001099798828,0,2021-02-11T23:08:04Z,,,08-082,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
89,36.173356063664,-79.999687448144,0,2021-02-11T23:08:04Z,,,08-082T,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
90,36.1716293077916,-79.9978900328279,0,2021-02-11T23:08:04Z,,,08-083,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
91,36.1700562760234,-79.9940420687199,0,2021-02-11T23:08:04Z,,,08-084,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
92,36.1736835446209,-79.9892099015415,0,2021-02-11T23:08:04Z,,,08-085,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
93,36.1790732759982,-79.9789138231427,0,2021-02-11T23:08:04Z,,,08-086,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
94,36.1798526253551,-79.9770337622613,0,2021-02-11T23:08:04Z,,,08-087,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
95,36.1805875506252,-79.9715602118522,0,2021-02-11T23:08:04Z,,,08-088,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
96,36.1800703871995,-79.9581900704652,0,2021-02-11T23:08:04Z,,,08-089,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
97,36.1835929658264,-79.9364543706179,0,2021-02-11T23:08:04Z,,,08-090,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
98,36.1842268053442,-79.9312135856599,0,2021-02-11T23:08:04Z,,,08-091,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
99,36.1876026168466,-79.9236509297043,0,2021-02-11T23:08:04Z,,,08-092,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
100,36.1974756605923,-79.9207445885986,0,2021-02-11T23:08:04Z,,,08-093,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
101,36.2042637448758,-79.9212991353124,0,2021-02-11T23:08:04Z,,,08-094,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
102,36.2081998027861,-79.9060843046755,0,2021-02-11T23:08:04Z,,,08-095,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
103,36.2007061298937,-79.9032870959491,0,2021-02-11T23:08:04Z,,,08-096,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
104,36.1989593412727,-79.9026930704713,0,2021-02-11T23:08:04Z,,,08-097,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
105,36.1979525070637,-79.9016453325748,0,2021-02-11T23:08:04Z,,,08-098,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
106,36.1953437235206,-79.8973672930151,0,2021-02-11T23:08:04Z,,,08-099,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
107,36.1939797364175,-79.8947155103087,0,2021-02-11T23:08:04Z,,,08-100,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
108,36.1834353860468,-79.8885062802583,0,2021-02-11T23:08:04Z,,,08-101,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
109,36.1818715743721,-79.8871389403939,0,2021-02-11T23:08:04Z,,,08-102,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
110,36.1819490231574,-79.8850204143673,0,2021-02-11T23:08:04Z,,,08-103,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
111,36.1781275458634,-79.8815194610506,0,2021-02-11T23:08:04Z,,,08-104,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
112,36.1776320077479,-79.8822619300336,0,2021-02-11T23:08:04Z,,,08-104T,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
113,36.1758472491056,-79.8794316966087,0,2021-02-11T23:08:04Z,,,08-105,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
114,36.174114625901,-79.8767963424325,0,2021-02-11T23:08:04Z,,,08-106,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
115,36.1723400093615,-79.8717200104147,0,2021-02-11T23:08:04Z,,,08-107,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
116,36.1702400073409,-79.8668699897826,0,2021-02-11T23:08:04Z,,,08-108,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
117,36.1696591414511,-79.8673885781318,0,2021-02-11T23:08:04Z,,,08-108T,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
118,36.1684504710138,-79.8654431384057,0,2021-02-11T23:08:04Z,,,08-109,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
119,36.1698715388775,-79.8618913907558,0,2021-02-11T23:08:04Z,,,08-110,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
120,36.1713126394898,-79.8556435201317,0,2021-02-11T23:08:04Z,,,08-111,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
121,36.169825354591,-79.8512622993439,0,2021-02-11T23:08:04Z,,,08-112,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
122,36.1699572857469,-79.8475774470717,0,2021-02-11T23:08:04Z,,,08-113,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
123,36.1664101481438,-79.8466757219285,0,2021-02-11T23:08:04Z,,,08-114,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
124,36.1661634687334,-79.8478043451905,0,2021-02-11T23:08:04Z,,,08-115,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
125,36.1627694685012,-79.8514869343489,0,2021-02-11T23:08:04Z,,,08-116,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
126,36.1615157034248,-79.8532825056464,0,2021-02-11T23:08:04Z,,,08-117,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
127,36.1592042259872,-79.8548376839608,0,2021-02-11T23:08:04Z,,,08-118,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
128,36.1575192119926,-79.8560833185911,0,2021-02-11T23:08:04Z,,,08-119,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
129,36.1587486695498,-79.8579498007894,0,2021-02-11T23:08:04Z,,,08-120,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
130,36.1587878130376,-79.8585342708975,0,2021-02-11T23:08:04Z,,,08-121,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
131,36.1561139021069,-79.8569707106799,0,2021-02-11T23:08:04Z,,,08-122,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
132,36.1527865380049,-79.8549807630479,0,2021-02-11T23:08:04Z,,,08-123,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
133,36.1510534118861,-79.8536263313144,0,2021-02-11T23:08:04Z,,,08-124,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
134,36.1548151262104,-79.8477261420339,0,2021-02-11T23:08:04Z,,,08-125,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
135,36.1584681272507,-79.8452961444855,0,2021-02-11T23:08:04Z,,,08-126,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
136,36.1602593399584,-79.8415824584663,0,2021-02-11T23:08:04Z,,,08-127,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
137,36.1652945168316,-79.8387154284865,0,2021-02-11T23:08:04Z,,,08-128,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
138,36.1664770357311,-79.8378555290401,0,2021-02-11T23:08:04Z,,,08-129,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
139,36.1673882324249,-79.8369439132512,0,2021-02-11T23:08:04Z,,,08-130,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
140,36.1674251127988,-79.8378285393119,0,2021-02-11T23:08:04Z,,,08-130T,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
141,36.1692556366324,-79.8368289135397,0,2021-02-11T23:08:04Z,,,08-131,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
142,36.1702176276594,-79.8358608037233,0,2021-02-11T23:08:04Z,,,08-132,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
143,36.1690686363727,-79.8349662870169,0,2021-02-11T23:08:04Z,,,08-133,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
144,36.1698033940047,-79.8334142938256,0,2021-02-11T23:08:04Z,,,08-134,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
145,36.1704244092107,-79.8283693101257,0,2021-02-11T23:08:04Z,,,08-135,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
146,36.1720354948193,-79.8216461017728,0,2021-02-11T23:08:04Z,,,08-136,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
147,36.1707774549723,-79.8196622729301,0,2021-02-11T23:08:04Z,,,08-137,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
148,36.1705239862204,-79.8181114532054,0,2021-02-11T23:08:04Z,,,08-138,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
149,36.1726367287338,-79.8104210570455,0,2021-02-11T23:08:04Z,,,08-139,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
